popularity,original_title,vote_average,release_year,budget_adj,revenue_adj,roi,gen1,gen2,gen3,gen4,gen5,ryear_ord
2.8851259999999996,The Lobster,6.6,2015,3679998.381,8339346.451,126.61,Thriller,Comedy,Drama,Romance,Science Fiction,2010s
2.883233,Carol,7.1,2015,10855995.22,37050347.9,241.29,Romance,Drama,,,,2010s
2.8148020000000002,The Intern,7.1,2015,32199985.83,178999419.5,455.9,Comedy,,,,,2010s
2.7980169999999998,Everest,6.7,2015,50599977.74,187153294.9,269.87,Adventure,Drama,,,,2010s
2.793297,Joy,6.4,2015,55199975.71,93043293.34,68.56,Comedy,Drama,,,,2010s
2.6144990000000004,Point Break,5.5,2015,96599957.5,123021160.0,27.35,Action,Crime,Thriller,,,2010s
2.584264,Burnt,6.3,2015,18399991.9,33678188.74,83.03,Drama,,,,,2010s
2.578919,Self/less,6.2,2015,23919989.48,28081355.56,17.4,Science Fiction,Mystery,Thriller,,,2010s
2.575711,Mortdecai,5.3,2015,55199975.71,27985062.89,-49.3,Comedy,Adventure,,,,2010s
2.557859,The Danish Girl,7.3,2015,13799993.93,59056175.18,327.94,Drama,,,,,2010s
2.5507470000000003,Blackhat,5.0,2015,64399971.66,16332697.61,-74.64,Mystery,Crime,Action,Thriller,Drama,2010s
2.487849,Sicario,7.1,2015,27599987.86,77303716.71,180.09,Action,Crime,Drama,Mystery,Thriller,2010s
2.4870419999999998,Fantastic Four,4.4,2015,110399952.3,154539320.3,39.98,Action,Adventure,Science Fiction,,,2010s
2.46449,The Witch,5.8,2015,3219998.583,37190013.04,1054.97,Mystery,Horror,,,,2010s
2.404473,Spy,6.9,2015,59799973.69,216812826.1,262.56,Action,Comedy,Crime,,,2010s
2.395366,Focus,6.7,2015,46091979.72,141645863.6,207.31,Romance,Comedy,Crime,Drama,,2010s
2.354654,Hitman: Agent 47,5.5,2015,32199985.83,75759810.19,135.28,Action,Crime,Thriller,,,2010s
2.345821,In the Heart of the Sea,6.4,2015,91999959.52,86315059.38,-6.18,Thriller,Drama,Adventure,Action,History,2010s
2.3315669999999997,Creed,7.3,2015,32199985.83,126900665.8,294.1,Drama,,,,,2010s
2.31767,Trainwreck,6.1,2015,32199985.83,129532072.6,302.27,Comedy,,,,,2010s
2.29573,Eye in the Sky,7.2,2015,11959994.74,30220316.9,152.68,Drama,Thriller,War,,,2010s
2.28135,Legend,6.7,2015,22999989.88,39535137.08,71.89,Crime,Thriller,,,,2010s
2.234573,Pan,5.9,2015,137999939.3,118117202.4,-14.41,Adventure,Family,Fantasy,,,2010s
2.140199,The Peanuts Movie,6.4,2015,91079959.92,226534364.3,148.72,Adventure,Animation,Comedy,Family,,2010s
2.121884,Concussion,6.9,2015,32199985.83,44733666.56,38.92,Drama,,,,,2010s
2.096273,The Night Before,6.1,2015,22999989.88,48204295.11,109.58,Comedy,,,,,2010s
2.0809349999999998,Knock Knock,4.8,2015,2299998.988,4796917.449,108.56,Drama,Horror,Thriller,,,2010s
2.070708,The Longest Ride,7.3,2015,31279986.24,57972193.01,85.33,Romance,Drama,,,,2010s
2.060162,Hotel Transylvania 2,6.8,2015,73599967.62,428888671.8,482.73,Animation,Comedy,Family,,,2010s
2.055572,Love the Coopers,5.3,2015,15639993.12,22079990.28,41.18,Family,Comedy,,,,2010s
2.049886,The Walk,6.8,2015,32199985.83,56287361.87,74.81,Adventure,Drama,Thriller,,,2010s
2.0266509999999998,Tracers,5.9,2015,10119995.55,1714249.0459999999,-83.06,Action,Crime,Drama,,,2010s
2.000338,Vacation,6.1,2015,28519987.45,96033410.71,236.72,Adventure,Comedy,,,,2010s
1.984529,Poltergeist,5.0,2015,32199985.83,87802915.85,172.68,Horror,Thriller,,,,2010s
1.9800389999999999,Maggie,5.1,2015,3679998.381,172142.9643,-95.32,Horror,,,,,2010s
1.95632,Child 44,5.9,2015,45999979.76,3058382.2539999997,-93.35,Crime,Thriller,,,,2010s
1.926739,The Gift,6.6,2015,4599997.976,54260336.89,1079.57,Thriller,Mystery,,,,2010s
1.904898,Daddy's Home,5.7,2015,45999979.76,221131463.3,380.72,Comedy,,,,,2010s
1.865007,The Little Prince,7.5,2015,58879974.09,89765510.5,52.46,Adventure,Animation,Fantasy,,,2010s
1.82313,The Dressmaker,6.9,2015,10975595.17,16872792.58,53.73,Drama,,,,,2010s
1.758618,The DUFF,6.8,2015,7819996.558999999,40046325.66,412.1,Romance,Comedy,,,,2010s
1.742286,Sinister 2,5.5,2015,9199995.952,48651435.15,428.82,Horror,,,,,2010s
1.73518,Paul Blart: Mall Cop 2,5.3,2015,27599987.86,98989419.08,258.66,Action,Adventure,Comedy,Family,,2010s
1.6510779999999998,The Boy Next Door,3.9,2015,3679998.381,46150034.45,1154.08,Thriller,,,,,2010s
1.532997,Entourage,6.2,2015,27599987.86,45322311.74,64.21,Comedy,,,,,2010s
1.5100959999999999,The Wedding Ringer,6.5,2015,21159990.69,73415857.3,246.96,Comedy,,,,,2010s
1.499614,Scouts Guide to the Zombie Apocalypse,6.2,2015,13799993.93,13671898.7,-0.93,Comedy,Horror,,,,2010s
1.495112,The Visit,5.9,2015,4599997.976,90574017.19,1869.0,Horror,Thriller,,,,2010s
1.4832459999999998,Black Mass,6.3,2015,48759978.55,91793583.37,88.26,Crime,Drama,,,,2010s
1.449072,Heist,5.4,2015,8187996.397000001,46125.0997,-99.44,Crime,Action,Thriller,,,2010s
1.448002,Krampus,5.9,2015,13799993.93,56624785.53,310.32,Horror,Comedy,Fantasy,,,2010s
1.443406,Dark Places,5.7,2015,18399991.9,191900.8756,-98.96,Drama,Mystery,Thriller,,,2010s
1.41239,No Escape,6.7,2015,4599997.976,50065340.21,988.38,Action,Thriller,,,,2010s
1.40805,Dope,7.3,2015,643999.7166,16547831.24,2469.54,Crime,Drama,Comedy,,,2010s
1.3882510000000001,American Ultra,5.9,2015,25759988.67,25951426.78,0.74,Comedy,Action,,,,2010s
1.388032,Woman in Gold,7.3,2015,10119995.55,56690166.22,460.18,Drama,,,,,2010s
1.3766049999999999,Sisters,5.9,2015,27599987.86,96610126.25,250.04,Comedy,,,,,2010s
1.360926,Project Almanac,6.3,2015,11039995.14,29668368.67,168.74,Science Fiction,Thriller,,,,2010s
1.3558219999999999,The Transporter Refueled,5.3,2015,22999989.88,66819267.0,190.52,Thriller,Action,Crime,,,2010s
1.345982,Crimson Peak,6.4,2015,50599977.74,68705406.01,35.78,Mystery,Thriller,Fantasy,Horror,Drama,2010s
1.338481,Magic Mike XXL,6.3,2015,13615994.01,112619962.9,727.12,Comedy,Drama,Music,,,2010s
1.338322,Paranormal Activity: The Ghost Dimension,5.0,2015,9199995.952,71851557.15,681.0,Horror,Thriller,,,,2010s
1.316239,Trumbo,7.2,2015,13799993.93,7576804.786,-45.1,Drama,,,,,2010s
1.315266,Secret in Their Eyes,6.2,2015,17939992.11,29614535.81,65.08,Crime,Drama,Mystery,,,2010s
1.291013,The SpongeBob Movie: Sponge Out of Water,5.7,2015,68079970.04,286666383.3,321.07,Family,Animation,,,,2010s
1.278928,Max,7.0,2015,18399991.9,40449856.8,119.84,Adventure,Drama,Family,,,2010s
1.225325,The Gunman,5.6,2015,36799983.81,9811564.763,-73.34,Action,Drama,Crime,,,2010s
1.191138,Unfriended,5.6,2015,919999.5952,57851497.35,6188.21,Horror,Thriller,,,,2010s
1.178831,Hot Pursuit,5.5,2015,32199985.83,47545764.0,47.66,Action,Crime,Comedy,,,2010s
1.1647239999999999,Insidious: Chapter 3,6.3,2015,9199995.952,95959500.7,943.04,Drama,Horror,Thriller,,,2010s
1.142518,The Lady in the Van,5.9,2015,5519997.571,38076655.29,589.79,Comedy,Drama,,,,2010s
1.138395,Victor Frankenstein,5.5,2015,36799983.81,31489100.3,-14.43,Drama,Science Fiction,Thriller,,,2010s
1.1252389999999999,Anomalisa,6.7,2015,7359996.762,3458541.598,-53.01,Animation,Comedy,Drama,Romance,,2010s
1.03839,The Diary of a Teenage Girl,6.8,2015,1839999.19,1358841.2419999999,-26.15,Drama,Romance,,,,2010s
1.0070540000000001,Irrational Man,6.1,2015,10119995.55,25199786.19,149.01,Mystery,Drama,,,,2010s
0.956096,Ricki and the Flash,5.5,2015,16559992.71,38019285.03,129.59,Comedy,Drama,Music,,,2010s
0.950793,The Perfect Guy,5.6,2015,11039995.14,55451294.76,402.28,Drama,Thriller,,,,2010s
0.9376200000000001,While We're Young,5.9,2015,9199995.952,6980483.129,-24.13,Drama,Comedy,,,,2010s
0.9273389999999999,Get Hard,5.9,2015,36799983.81,97990493.64,166.28,Comedy,,,,,2010s
0.9060360000000001,The 33,5.8,2015,22999989.88,22910495.08,-0.39,History,Drama,,,,2010s
0.8982959999999999,Suffragette,7.1,2015,12879994.33,14722219.92,14.3,Drama,History,,,,2010s
0.8809379999999999,We Are Your Friends,6.2,2015,5519997.571,10232318.3,85.37,Drama,Music,Romance,,,2010s
0.8324870000000001,The Second Best Exotic Marigold Hotel,6.4,2015,9199995.952,79099969.92,759.78,Drama,Comedy,,,,2010s
0.829111,Little Boy,7.1,2015,18399991.9,5906690.881,-67.9,Comedy,Drama,War,,,2010s
0.814206,Aloha,5.2,2015,34039985.02,24150007.77,-29.05,Adventure,Comedy,Romance,,,2010s
0.795762,Our Brand Is Crisis,5.7,2015,25759988.67,6442077.285,-74.99,Drama,Comedy,,,,2010s
0.706023,Freeheld,7.1,2015,6439997.166,527467.9679,-91.81,Romance,Drama,,,,2010s
0.699932,Love,4.7,2015,2759998.7860000003,639647.1986,-76.82,Drama,Romance,,,,2010s
0.69957,Truth,6.4,2015,8831996.114,2338228.651,-73.53,Drama,,,,,2010s
0.690479,Danny Collins,6.6,2015,9199995.952,9968887.454,8.36,Comedy,Drama,Music,,,2010s
0.6895789999999999,Rock the Kasbah,5.1,2015,13799993.93,2779009.6569999997,-79.86,Comedy,Music,War,,,2010s
0.6737920000000001,"Hello, My Name Is Doris",6.6,2015,919999.5952,13289393.23,1344.5,Comedy,Drama,Romance,,,2010s
0.669351,The Vatican Tapes,4.5,2015,11959994.74,1641981.2380000001,-86.27,Thriller,Horror,,,,2010s
0.661471,99 Homes,6.8,2015,7359996.762,1298972.268,-82.35,Drama,,,,,2010s
0.6611630000000001,Hot Tub Time Machine 2,5.0,2015,12879994.33,11329473.94,-12.04,Comedy,,,,,2010s
0.654046,Manglehorn,5.0,2015,3679998.381,131652.8621,-96.42,Drama,,,,,2010s
0.602165,A Walk in the Woods,5.4,2015,7359996.762,33111785.47,349.89,Drama,Adventure,Comedy,,,2010s
0.599655,The Lazarus Effect,4.9,2015,3035998.664,58981843.81,1842.75,Thriller,Horror,,,,2010s
0.577814,Unfinished Business,4.9,2015,32199985.83,13276746.92,-58.77,Comedy,,,,,2010s
0.5707439999999999,Lost River,5.7,2015,1839999.19,41796.50161,-97.73,Fantasy,Thriller,,,,2010s
0.532205,The Gallows,5.0,2015,91999.95952,39251239.93,42564.41,Horror,Thriller,,,,2010s
0.524315,By the Sea,5.4,2015,9199995.952,3068131.49,-66.65,Drama,Romance,,,,2010s
0.46208999999999995,Black or White,6.7,2015,8279996.357000001,19845485.15,139.68,Drama,,,,,2010s
0.45087200000000005,I Saw the Light,5.6,2015,11959994.74,1515044.293,-87.33,Drama,Music,,,,2010s
0.43558199999999997,Jem and the Holograms,5.7,2015,4599997.976,2146988.335,-53.33,Drama,Music,Adventure,Fantasy,,2010s
0.424813,Beasts of No Nation,7.5,2015,5519997.571,83514.80325,-98.49,Drama,War,,,,2010s
0.41491300000000003,Demonic,5.0,2015,2759998.7860000003,3116038.6289999997,12.9,Thriller,Horror,,,,2010s
0.40223600000000004,The D Train,4.2,2015,411721.8988,709611.3278,72.35,Drama,Comedy,,,,2010s
0.36590100000000003,Strangerland,5.0,2015,9199995.952,16074.232930000002,-99.83,Drama,Thriller,,,,2010s
0.336107,Captive,5.7,2015,1839999.19,2577386.226,40.08,Crime,Drama,Thriller,,,2010s
0.29875100000000004,90 Minutes in Heaven,5.7,2015,4599997.976,4455281.12,-3.15,Drama,,,,,2010s
0.259794,Grandma,5.6,2015,551999.7571,6520452.971,1081.24,Drama,Comedy,,,,2010s
0.7310220000000001,War Room,6.9,2015,2759998.7860000003,62366880.2,2159.67,Drama,,,,,2010s
0.07610900000000001,Stonewall,5.6,2015,12419994.54,172660.004,-98.61,Drama,,,,,2010s
24.949134,Interstellar,8.0,2014,151980023.4,572690645.1,276.82,Adventure,Drama,Science Fiction,,,2010s
14.311205,Guardians of the Galaxy,7.9,2014,156585478.6,712291130.2,354.89,Action,Science Fiction,Adventure,,,2010s
12.971027000000001,Captain America: The Winter Soldier,7.6,2014,156585478.6,658365092.9,320.45,Action,Adventure,Science Fiction,,,2010s
11.422751,John Wick,7.0,2014,18421821.02,72526614.47,293.7,Action,Thriller,,,,2010s
10.739009,The Hunger Games: Mockingjay - Part 1,6.6,2014,115136381.3,692752790.2,501.68,Science Fiction,Adventure,Thriller,,,2010s
10.174599,The Hobbit: The Battle of the Five Armies,7.1,2014,230272762.7,879752289.1,282.05,Adventure,Fantasy,,,,2010s
8.691294000000001,Big Hero 6,7.8,2014,151980023.4,600648487.7,295.22,Adventure,Family,Animation,Action,Comedy,2010s
8.110711,The Imitation Game,8.0,2014,12895274.71,215126072.5,1568.26,History,Drama,Thriller,War,,2010s
7.1372729999999995,The Maze Runner,7.0,2014,31317095.73,320834306.8,924.47,Action,Mystery,Science Fiction,Thriller,,2010s
6.907147999999999,Birdman,7.3,2014,16579638.91,95070499.39,473.42,Drama,Comedy,,,,2010s
6.438727,Gone Girl,7.9,2014,56186554.1,340186892.1,505.46,Mystery,Thriller,Drama,,,2010s
6.415818,Fury,7.4,2014,62634191.45,195103577.6,211.5,War,Drama,Action,,,2010s
6.2866919999999995,Night at the Museum: Secret of the Tomb,6.1,2014,116978563.4,321851579.1,175.14,Adventure,Comedy,Fantasy,Family,,2010s
6.14502,Divergent,6.9,2014,78292739.32,265963102.0,239.7,Action,Science Fiction,Thriller,,,2010s
6.052479,X-Men: Days of Future Past,7.6,2014,230272762.7,687133923.9,198.4,Action,Adventure,Fantasy,Science Fiction,,2010s
5.947136,Lucy,6.3,2014,36843642.03,426796807.3,1058.4,Action,Science Fiction,,,,2010s
5.787396,Teenage Mutant Ninja Turtles,5.8,2014,115136381.3,439544649.4,281.76,Science Fiction,Action,Adventure,Fantasy,Comedy,2010s
5.701683,Sex Tape,5.3,2014,36843642.03,116121496.5,215.17,Comedy,,,,,2010s
5.522641,Nightcrawler,7.6,2014,7829273.932,35643660.27,355.26,Crime,Drama,Thriller,,,2010s
4.983782,Transformers: Age of Extinction,5.9,2014,193429120.7,226127853.0,16.9,Science Fiction,Action,Adventure,,,2010s
4.93082,The Grand Budapest Hotel,7.9,2014,27632731.52,160822790.4,482.0,Comedy,Drama,,,,2010s
4.780419,Whiplash,8.2,2014,3039600.4680000003,12888912.73,324.03,Drama,Music,,,,2010s
4.452507,Dawn of the Planet of the Apes,7.4,2014,156585478.6,652316682.2,316.59,Science Fiction,Action,Drama,Thriller,,2010s
4.1452089999999995,The Equalizer,7.2,2014,50660007.79,177154121.6,249.69,Thriller,Action,Crime,,,2010s
4.105685,Horrible Bosses 2,6.1,2014,38685824.13,98230083.94,153.92,Comedy,,,,,2010s
4.101979,The Amazing Spider-Man 2,6.6,2014,184218210.2,650030011.0,252.86,Action,Adventure,Fantasy,,,2010s
3.990452,Edge of Tomorrow,7.7,2014,163954207.0,341302234.8,108.17,Action,Science Fiction,,,,2010s
3.9892309999999997,The Interview,6.1,2014,40528006.23,10413095.52,-74.31,Action,Comedy,,,,2010s
3.8630739999999997,American Sniper,7.5,2014,54160153.79,499514514.1,822.29,War,Action,,,,2010s
3.81374,Exodus: Gods and Kings,5.6,2014,128952747.1,246881718.1,91.45,Adventure,Drama,Action,,,2010s
3.689601,Godzilla,6.2,2014,147374568.1,487327232.3,230.67,Action,Science Fiction,Thriller,,,2010s
3.5823150000000004,Maleficent,7.0,2014,165796389.1,698565012.0,321.34,Fantasy,Adventure,Action,Family,Romance,2010s
3.573028,The November Man,6.0,2014,13816365.76,29987149.86,117.04,Crime,Action,Thriller,,,2010s
3.489314,Ouija,4.9,2014,4605455.254,94439261.87,1950.6,Horror,,,,,2010s
3.4891059999999996,How to Train Your Dragon 2,7.7,2014,133558202.4,561057788.3,320.08,Fantasy,Action,Adventure,Animation,Comedy,2010s
3.3937410000000003,It Follows,6.6,2014,1842182.102,12434729.19,575.0,Thriller,Horror,,,,2010s
3.34625,The Expendables 3,6.2,2014,82898194.57,189903685.2,129.08,Action,Adventure,Thriller,,,2010s
3.3277989999999997,The Lego Movie,7.5,2014,55265463.05,432139714.8,681.93,Adventure,Fantasy,Animation,Comedy,Action,2010s
3.260581,Seventh Son,5.1,2014,87503649.82,105168898.6,20.19,Adventure,Fantasy,,,,2010s
3.170271,The Theory of Everything,7.8,2014,13816365.76,111638022.3,708.01,Drama,Romance,,,,2010s
3.14993,Let's Be Cops,6.4,2014,15658547.86,125840630.1,703.65,Comedy,,,,,2010s
3.028769,Dracula Untold,6.1,2014,64476373.55,198522018.2,207.9,Horror,Action,Drama,Fantasy,War,2010s
3.007018,Penguins of Madagascar,6.5,2014,121584018.7,344075490.8,182.99,Family,Animation,Adventure,Comedy,,2010s
2.996038,Into the Woods,5.6,2014,46054552.54,196102469.5,325.8,Fantasy,Comedy,Music,,,2010s
2.979181,300: Rise of an Empire,6.1,2014,101320015.6,310941963.9,206.89,Action,War,,,,2010s
2.881991,The Giver,6.3,2014,23027276.27,61695098.6,167.92,Drama,Science Fiction,,,,2010s
2.8050189999999997,22 Jump Street,7.0,2014,46054552.54,173571884.2,276.88,Crime,Comedy,Action,,,2010s
2.777996,A Walk Among the Tombstones,6.2,2014,25790549.42,48985095.83,89.93,Crime,Drama,Mystery,Thriller,,2010s
2.721864,Paddington,7.1,2014,50660007.79,238753457.1,371.29,Comedy,,,,,2010s
2.692691,Cake,6.1,2014,6447637.355,2174033.706,-66.28,Drama,,,,,2010s
2.67235,Chef,7.2,2014,10132001.56,42340653.55,317.89,Comedy,,,,,2010s
2.6112509999999998,The Purge: Anarchy,6.6,2014,8289819.457,100198906.8,1108.7,Horror,Thriller,,,,2010s
2.601775,Left Behind,3.8,2014,14737456.81,18129765.15,23.02,Thriller,Action,Science Fiction,,,2010s
2.595951,Boyhood,7.6,2014,3684364.203,40849467.01,1008.73,Drama,,,,,2010s
2.576396,A Most Violent Year,6.4,2014,18421821.02,11059604.72,-39.96,Action,Thriller,Crime,Drama,,2010s
2.549403,Hercules,5.6,2014,92109105.08,224193561.8,143.4,Action,Adventure,,,,2010s
2.526779,Noah,5.5,2014,115136381.3,334022131.1,190.11,Drama,Adventure,,,,2010s
2.523101,The Judge,7.2,2014,46054552.54,77113179.06,67.44,Drama,,,,,2010s
2.4451650000000003,Blended,6.7,2014,36843642.03,113749780.1,208.74,Comedy,,,,,2010s
2.376309,Neighbors,6.2,2014,16579638.91,246997381.3,1389.76,Comedy,,,,,2010s
2.361267,If I Stay,7.2,2014,10132001.56,72650912.02,617.04,Drama,,,,,2010s
2.303556,Step Up All In,6.7,2014,41449097.28,79366405.41,91.48,Romance,Drama,Music,,,2010s
2.293859,The Fault in Our Stars,7.8,2014,11053092.61,281072099.3,2442.93,Romance,Drama,,,,2010s
2.1654619999999998,Ride Along,6.1,2014,23027276.27,141846012.9,515.99,Action,Comedy,,,,2010s
2.160156,Inherent Vice,6.3,2014,18421821.02,10234219.64,-44.45,Comedy,Romance,Crime,Drama,Mystery,2010s
2.141491,Jack Ryan: Shadow Recruit,5.9,2014,55265463.05,46560330.08,-15.75,Action,Drama,Thriller,,,2010s
2.1367580000000004,Non-Stop,6.8,2014,46054552.54,205227928.6,345.62,Action,Thriller,Mystery,,,2010s
2.116264,Predestination,7.2,2014,5066000.779,2763273.152,-45.45,Science Fiction,Thriller,,,,2010s
1.957672,The Drop,6.6,2014,11605747.24,17186067.76,48.08,Drama,Crime,,,,2010s
1.9407349999999999,RoboCop,5.7,2014,110530926.1,220490244.3,99.48,Science Fiction,Action,,,,2010s
1.904422,Transcendence,5.9,2014,92109105.08,94908538.42,3.04,Thriller,Science Fiction,Drama,Mystery,,2010s
1.9000380000000001,The Other Woman,6.2,2014,36843642.03,181253395.8,391.95,Comedy,Romance,,,,2010s
1.8947060000000002,Mr. Peabody & Sherman,6.8,2014,133558202.4,251377196.9,88.22,Animation,Adventure,Family,,,2010s
1.840817,Sin City: A Dame to Kill For,6.2,2014,59870918.3,36298002.43,-39.37,Crime,Thriller,,,,2010s
1.8116919999999999,Rio 2,6.5,2014,94872378.23,460719091.2,385.62,Animation,Adventure,Comedy,Family,,2010s
1.805954,Dumb and Dumber To,5.5,2014,36843642.03,156435350.0,324.59,Comedy,,,,,2010s
1.7798610000000001,The Monuments Men,5.7,2014,64476373.55,142754407.7,121.41,War,Drama,History,Action,,2010s
1.769987,Unbroken,7.2,2014,59870918.3,150545826.6,151.45,Drama,War,,,,2010s
1.754707,Selma,7.5,2014,18421821.02,61517744.36,233.94,History,Drama,,,,2010s
1.737699,Mommy,8.0,2014,4513346.149,3218356.608,-28.69,Drama,,,,,2010s
1.6493209999999998,Wild,6.9,2014,13816365.76,48358699.57,250.01,Drama,,,,,2010s
1.638781,Pompeii,5.1,2014,119741836.6,108533660.8,-9.36,Action,Adventure,History,Romance,Drama,2010s
1.63015,The Best of Me,7.2,2014,23948367.32,33091313.28,38.18,Drama,Romance,,,,2010s
1.5880100000000001,Annie,6.1,2014,59870918.3,123262077.1,105.88,Music,Comedy,Drama,Family,,2010s
1.5450549999999998,The Book of Life,7.3,2014,46054552.54,89748446.35,94.87,Romance,Animation,Adventure,Comedy,Family,2010s
1.542392,St. Vincent,7.1,2014,11974183.66,50510085.49,321.82,Comedy,,,,,2010s
1.541069,Need for Speed,6.2,2014,60792009.35,187237211.3,208.0,Action,Crime,Drama,Thriller,,2010s
1.4490459999999998,The Hundred-Foot Journey,7.2,2014,20264003.12,81867328.81,304.0,Drama,,,,,2010s
1.440084,The Boxtrolls,6.6,2014,55265463.05,99713420.94,80.43,Animation,Comedy,Family,Fantasy,,2010s
1.3987129999999999,Big Eyes,6.8,2014,9210910.508,26604343.5,188.84,Drama,,,,,2010s
1.394382,The Prince,4.6,2014,16579638.91,245550715.7,1381.04,Thriller,Action,,,,2010s
